Status: Optimal
TransportedProducts_1_0_0_2 = 2400.0
TransportedProducts_1_0_0_3 = 2400.0
TransportedProducts_1_0_1_0 = 0.0
TransportedProducts_1_0_1_1 = 0.0
TransportedProducts_1_0_1_2 = 0.0
TransportedProducts_1_0_1_3 = 0.0
TransportedProducts_1_1_0_0 = 1000.0
TransportedProducts_1_1_0_1 = 0.0
TransportedProducts_1_1_0_2 = 1000.0
TransportedProducts_1_1_0_3 = 1000.0
TransportedProducts_1_1_1_0 = 0.0
TransportedProducts_1_1_1_1 = 0.0
TransportedProducts_1_1_1_2 = 0.0
TransportedProducts_1_1_1_3 = 0.0
TransportedProducts_1_2_0_0 = 0.0
TransportedProducts_1_2_0_1 = 0.0
TransportedProducts_1_2_0_2 = 0.0
TransportedProducts_1_2_0_3 = 0.0
TransportedProducts_1_2_1_0 = 0.0
TransportedProducts_1_2_1_1 = 0.0
TransportedProducts_1_2_1_2 = 0.0
TransportedProducts_1_2_1_3 = 0.0
TransportedProducts_2_0_0_0 = 2400.0
TransportedProducts_2_0_0_1 = 0.0
TransportedProducts_2_0_0_2 = 2400.0
TransportedProducts_2_0_0_3 = 2400.0
TransportedProducts_2_0_1_0 = 0.0
TransportedProducts_2_0_1_1 = 0.0
TransportedProducts_2_0_1_2 = 0.0
TransportedProducts_2_0_1_3 = 0.0
TransportedProducts_2_1_0_0 = 1000.0
TransportedProducts_2_1_0_1 = 0.0
TransportedProducts_2_1_0_2 = 1000.0
TransportedProducts_2_1_0_3 = 1000.0
TransportedProducts_2_1_1_0 = 0.0
TransportedProducts_2_1_1_1 = 0.0
TransportedProducts_2_1_1_2 = 0.0
TransportedProducts_2_1_1_3 = 0.0
TransportedProducts_2_2_0_0 = 0.0
TransportedProducts_2_2_0_1 = 0.0
TransportedProducts_2_2_0_2 = 0.0
TransportedProducts_2_2_0_3 = 0.0
TransportedProducts_2_2_1_0 = 0.0
TransportedProducts_2_2_1_1 = 0.0
TransportedProducts_2_2_1_2 = 0.0
TransportedProducts_2_2_1_3 = 0.0
WorkerHoursComponent_0_0 = 20.0
WorkerHoursComponent_0_1 = 0.0
WorkerHoursComponent_1_0 = 20.0
WorkerHoursComponent_1_1 = 15.0
WorkerHoursComponent_2_0 = 20.0
WorkerHoursComponent_2_1 = 0.0
WorkerNums_0_0 = 20.0
WorkerNums_0_1 = 15.0
WorkerNums_1_0 = 20.0
WorkerNums_1_1 = 15.0
WorkerNums_2_0 = 20.0
WorkerNums_2_1 = 15.0
WorkerSalaryComponent_0_0 = 20.0
WorkerSalaryComponent_0_1 = 0.0
WorkerSalaryComponent_1_0 = 20.0
WorkerSalaryComponent_1_1 = 15.0
WorkerSalaryComponent_2_0 = 20.0
WorkerSalaryComponent_2_1 = 0.0
Money:  162072.0
